ID,Scenario,alt,chosen,RC,OC,DR,CT,P1,P2,P1_V,P2_V,N_RC,N_OC1,N_OC2,N_DR,Freq_p_week,Dis_p_day,AT2,experience_months
11165,R1.5s,1,1,1800,55,500,15.5,,,,,8,13,12,9,6,325,4,18
11165,R1.5s,3,0,2350, ,300,26,0.9,0.1,18,22,8,13,12,9,6,325,4,18
11165,R1.4s,1,1,1800,55,500,15.5,,,,,0,11,3,1,6,325,4,18
11165,R1.4s,3,0,2350, ,300,26,0.7,0.3,18,22,0,11,3,1,6,325,4,18
11165,R1.2s,1,1,1800,55,500,15.5,,,,,1,1,1,0,6,325,4,18
11165,R1.2s,3,0,2350, ,300,26,0.3,0.7,18,22,1,1,1,0,6,325,4,18
11165,R1.2r,1,1,1800,55,500,15.5,,,,,7,13,21,13,6,325,4,18
11165,R1.2r,3,0,2350, ,300,26,0.3,0.7,16,24,7,13,21,13,6,325,4,18
11165,R1.5r,1,1,1800,55,500,15.5,,,,,11,46,33,27,6,325,4,18
11165,R1.5r,3,0,2350, ,300,26,0.9,0.1,16,24,11,46,33,27,6,325,4,18
111671,R2.3s,1,1,1500,38,500,9,,,,,5,9,9,2,5,225,2,96
111671,R2.3s,3,0,1600, ,350,13,0.5,0.5,17,21,5,9,9,2,5,225,2,96
111671,R2.5r,1,1,1500,38,500,9,,,,,4,5,6,2,5,225,2,96
111671,R2.5r,3,0,1600, ,350,13,0.9,0.1,15,23,4,5,6,2,5,225,2,96
111671,R2.1s,1,1,1500,38,500,9,,,,,2,5,2,4,5,225,2,96
111671,R2.1s,3,0,1600, ,350,13,0.1,0.9,17,21,2,5,2,4,5,225,2,96
111671,R2.1r,1,1,1500,38,500,9,,,,,2,0,3,4,5,225,2,96
111671,R2.1r,3,0,1600, ,350,13,0.1,0.9,15,23,2,0,3,4,5,225,2,96
111671,R2.4r,1,0,1500,38,500,9,,,,,6,12,9,11,5,225,2,96
111671,R2.4r,3,1,1600, ,350,13,0.7,0.3,15,23,6,12,9,11,5,225,2,96
11168,R1.2s,1,0,2700,36,800,7,,,,,1,14,3,11,6,225,2,276
11168,R1.2s,3,1,3500, ,500,11,0.3,0.7,12,16,1,14,3,11,6,225,2,276
11168,R1.4s,1,0,2700,36,800,7,,,,,2,13,2,1,6,225,2,276
11168,R1.4s,3,1,3500, ,500,11,0.7,0.3,12,16,2,13,2,1,6,225,2,276
11168,R1.3s,1,0,2700,36,800,7,,,,,5,9,5,0,6,225,2,276
11168,R1.3s,3,1,3500, ,500,11,0.5,0.5,12,16,5,9,5,0,6,225,2,276
11168,R1.1s,1,1,2700,36,800,7,,,,,0,28,8,2,6,225,2,276
11168,R1.1s,3,0,3500, ,500,11,0.1,0.9,12,16,0,28,8,2,6,225,2,276
11168,R1.5s,1,0,2700,36,800,7,,,,,0,7,0,0,6,225,2,276
11168,R1.5s,3,1,3500, ,500,11,0.9,0.1,12,16,0,7,0,0,6,225,2,276
111641,R1.2s,1,0,3000,24,800,8,,,,,6,16,16,10,7,225,2,156
111641,R1.2s,3,1,3900, ,500,12.5,0.3,0.7,12,16,6,16,16,10,7,225,2,156
111641,R1.1r,1,1,3000,24,800,8,,,,,5,10,9,1,7,225,2,156
111641,R1.1r,3,0,3900, ,500,12.5,0.1,0.9,10,18,5,10,9,1,7,225,2,156
111641,R1.1s,1,1,3000,24,800,8,,,,,2,14,6,1,7,225,2,156
111641,R1.1s,3,0,3900, ,500,12.5,0.1,0.9,12,16,2,14,6,1,7,225,2,156
111641,R1.2r,1,1,3000,24,800,8,,,,,0,13,3,1,7,225,2,156
111641,R1.2r,3,0,3900, ,500,12.5,0.3,0.7,10,18,0,13,3,1,7,225,2,156
111641,R1.5s,1,0,3000,24,800,8,,,,,1,17,3,0,7,225,2,156
111641,R1.5s,3,1,3900, ,500,12.5,0.9,0.1,12,16,1,17,3,0,7,225,2,156
11199,R2.3s,1,1,2100,36,800,11.5,,,,,2,9,2,4,7,325,4,156
11199,R2.3s,3,0,2200, ,550,16.5,0.5,0.5,16,20,2,9,2,4,7,325,4,156
11199,R2.1s,1,1,2100,36,800,11.5,,,,,1,8,6,0,7,325,4,156
11199,R2.1s,3,0,2200, ,550,16.5,0.1,0.9,16,20,1,8,6,0,7,325,4,156
11199,R2.2s,1,1,2100,36,800,11.5,,,,,1,9,2,0,7,325,4,156
11199,R2.2s,3,0,2200, ,550,16.5,0.3,0.7,16,20,1,9,2,0,7,325,4,156
11199,R2.3r,1,1,2100,36,800,11.5,,,,,0,4,4,2,7,325,4,156
11199,R2.3r,3,0,2200, ,550,16.5,0.5,0.5,14,22,0,4,4,2,7,325,4,156
11199,R2.2r,1,1,2100,36,800,11.5,,,,,2,8,6,5,7,325,4,156
11199,R2.2r,3,0,2200, ,550,16.5,0.3,0.7,14,22,2,8,6,5,7,325,4,156
111910,R1.3s,1,1,1500,28,550,7.5,,,,,9,25,26,15,6,175,4,54
111910,R1.3s,3,0,1700, ,350,12,0.5,0.5,9,13,9,25,26,15,6,175,4,54
111910,R1.5s,1,1,1500,28,550,7.5,,,,,11,4,12,10,6,175,4,54
111910,R1.5s,3,0,1700, ,350,12,0.9,0.1,9,13,11,4,12,10,6,175,4,54
111910,R1.1s,1,1,1500,28,550,7.5,,,,,19,13,25,15,6,175,4,54
111910,R1.1s,3,0,1700, ,350,12,0.1,0.9,9,13,19,13,25,15,6,175,4,54
111910,R1.4r,1,0,1500,28,550,7.5,,,,,2,4,6,0,6,175,4,54
111910,R1.4r,3,1,1700, ,350,12,0.7,0.3,7,15,2,4,6,0,6,175,4,54
111910,R1.3r,1,0,1500,28,550,7.5,,,,,1,8,2,4,6,175,4,54
111910,R1.3r,3,1,1700, ,350,12,0.5,0.5,7,15,1,8,2,4,6,175,4,54
111,R2.3s,1,1,1200,45,550,10,,,,,12,22,19,5,6,225,4,54
111,R2.3s,3,0,1250, ,400,14,0.5,0.5,21,25,12,22,19,5,6,225,4,54
111,R2.5r,1,1,1200,45,550,10,,,,,2,7,5,13,6,225,4,54
111,R2.5r,3,0,1250, ,400,14,0.9,0.1,19,27,2,7,5,13,6,225,4,54
111,R2.1s,1,1,1200,45,550,10,,,,,6,14,9,7,6,225,4,54
111,R2.1s,3,0,1250, ,400,14,0.1,0.9,21,25,6,14,9,7,6,225,4,54
111,R2.4s,1,1,1200,45,550,10,,,,,6,12,12,6,6,225,4,54
111,R2.4s,3,0,1250, ,400,14,0.7,0.3,21,25,6,12,12,6,6,225,4,54
111,R2.4r,1,1,1200,45,550,10,,,,,5,17,11,3,6,225,4,54
111,R2.4r,3,0,1250, ,400,14,0.7,0.3,19,27,5,17,11,3,6,225,4,54
111912,R1.5s,1,0,1500,28,550,7.5,,,,,5,10,9,5,6,175,4,54
111912,R1.5s,3,1,1800, ,350,12,0.9,0.1,9,13,5,10,9,5,6,175,4,54
111912,R1.1r,1,1,1500,28,550,7.5,,,,,3,3,5,1,6,175,4,54
111912,R1.1r,3,0,1800, ,350,12,0.1,0.9,7,15,3,3,5,1,6,175,4,54
111912,R1.5r,1,0,1500,28,550,7.5,,,,,2,10,3,3,6,175,4,54
111912,R1.5r,3,1,1800, ,350,12,0.9,0.1,7,15,2,10,3,3,6,175,4,54
111912,R1.3r,1,1,1500,28,550,7.5,,,,,0,6,1,0,6,175,4,54
