ID,Scenario,alt,chosen,RC,OC,DR,CT,P1,P2,P1_V,P2_V,Freq_p_week,Dis_p_day,AT2,experience_months
R_2xESOZsu1b0DK9W,R2.4s,1,1,3000,43,550,12,,,,,6,275,4,219
R_2xESOZsu1b0DK9W,R2.4s,3,0,3150, ,400,16.5,0.7,0.3,20,24,6,275,4,219
R_2xESOZsu1b0DK9W,R2.4r,1,1,3000,43,550,12,,,,,6,275,4,219
R_2xESOZsu1b0DK9W,R2.4r,3,0,3150, ,400,16.5,0.7,0.3,18,26,6,275,4,219
R_1dAi96dvpP4rxJ1,R2.5s,1,1,3000,30,800,5.5,,,,,4,275,4,54
R_1dAi96dvpP4rxJ1,R2.5s,3,0,3150, ,550,8,0.9,0.1,13,17,4,275,4,54
R_1dAi96dvpP4rxJ1,R2.5r,1,1,3000,30,800,5.5,,,,,4,275,4,54
R_1dAi96dvpP4rxJ1,R2.5r,3,0,3150, ,550,8,0.9,0.1,11,19,4,275,4,54
R_23V6WTC693E94Og,R2.2s,1,0,3000,39,600,11,,,,,6,275,4,156
R_23V6WTC693E94Og,R2.2s,3,1,3150, ,400,16.5,0.3,0.7,18,22,6,275,4,156
R_23V6WTC693E94Og,R2.2r,1,0,3000,39,600,11,,,,,6,275,4,156
R_23V6WTC693E94Og,R2.2r,3,1,3150, ,400,16.5,0.3,0.7,16,24,6,275,4,156
R_1IyLwEpuNVYBvPp,R2.1s,1,1,3000,23,850,6.5,,,,,6,225,4,156
R_1IyLwEpuNVYBvPp,R2.1s,3,0,3150, ,600,9,0.1,0.9,10,14,6,225,4,156
R_1IyLwEpuNVYBvPp,R2.1r,1,1,3000,23,850,6.5,,,,,6,225,4,156
R_1IyLwEpuNVYBvPp,R2.1r,3,0,3150, ,600,9,0.1,0.9,8,16,6,225,4,156
R_116lQQNL0eDcDhB,R1.5s,1,1,3000,45,550,11.5,,,,,7,225,4,300
R_116lQQNL0eDcDhB,R1.5s,3,0,3450, ,350,18,0.9,0.1,12,16,7,225,4,300
R_116lQQNL0eDcDhB,R1.5r,1,1,3000,45,550,11.5,,,,,7,225,4,300
R_116lQQNL0eDcDhB,R1.5r,3,0,3450, ,350,18,0.9,0.1,10,18,7,225,4,300
R_3RfOLQbftXNFAdQ,R1.3s,1,1,3000,18,850,4,,,,,5,175,4,54
R_3RfOLQbftXNFAdQ,R1.3s,3,0,3300, ,500,7,0.5,0.5,9,13,5,175,4,54
R_3RfOLQbftXNFAdQ,R1.3r,1,1,3000,18,850,4,,,,,5,175,4,54
R_3RfOLQbftXNFAdQ,R1.3r,3,0,3300, ,500,7,0.5,0.5,7,15,5,175,4,54
R_1QH55CS8w4P9JoK,R2.1s,1,1,4200,39,600,11,,,,,6,275,4,219
R_1QH55CS8w4P9JoK,R2.1s,3,0,4400, ,400,16.5,0.1,0.9,18,22,6,275,4,219
R_1QH55CS8w4P9JoK,R2.1r,1,1,4200,39,600,11,,,,,6,275,4,219
R_1QH55CS8w4P9JoK,R2.1r,3,0,4400, ,400,16.5,0.1,0.9,16,24,6,275,4,219
R_27jK07nVE2GTWlK,R2.2s,1,1,1800,21,850,4,,,,,5,175,3,96
R_27jK07nVE2GTWlK,R2.2s,3,0,1900, ,600,6,0.3,0.7,9,13,5,175,3,96
R_27jK07nVE2GTWlK,R2.2r,1,1,1800,21,850,4,,,,,5,175,3,96
R_27jK07nVE2GTWlK,R2.2r,3,0,1900, ,600,6,0.3,0.7,7,15,5,175,3,96
R_2V1JuOHs3yzzfpE,R2.5s,1,1,1800,41,600,11,,,,,6,275,4,96
R_2V1JuOHs3yzzfpE,R2.5s,3,0,1900, ,400,16.5,0.9,0.1,19,23,6,275,4,96
